Name	CTLA4	PDCD1	LAG3	BTLA	CD160	IDO1	IL10	IL10RB	TGFB1	TGFBR1	VTCN1	CD244	LGALS9	HAVCR2	ADORA2A	TIGIT	CSF1R	KIR2DL1	KIR2DL3	KDR	CD96	PVRL2	C10orf54	MICA	MICB	CD27	CD274	CD28	CD40	CD40LG	CD70	CD80	CD86	ICOS	ICOSLG	IL6	IL6R	PDCD1LG2	TMEM173	TNFRSF13B	TNFRSF13C	TNFRSF14	TNFRSF17	TNFRSF18	TNFRSF4	TNFRSF9	TNFSF13	TNFSF13B	TNFSF18	TNFSF4	TNFSF9	TNFSF15	TNFRSF25	HHLA2	TMIGD2	BTNL2	CD276	CD48	TNFSF14	TNFRSF8	PVR	LTA	IL2RA	ENTPD1	NT5E	CXCR4	CXCL12	KLRK1	RAET1E	ULBP1	GZMA_O	PRF1_O
TGFB1	0.148455671357059	0.280055311184179	0.191105700272435	0.226722607579709	0.195190199069628	0.0807154162340807	0.284235182802874	0.305792801004346	NA	0.279990757449778	-0.278486921645901	0.445506688267101	0.0382863687604605	0.440947817069974	0.267681200220718	0.21803738523836	0.518703386882933	0.269438733811137	0.256425819325974	0.109008496437944	0.347336467028122	-0.260424689039435	0.676644516621154	0.0993149234792696	0.20602749601586	0.264522117512924	0.281245242226304	0.305825824150327	0.419923207690047	0.197903736390903	0.39246358419113	0.223837031293978	0.439847578161569	0.233098772269742	0.111256463857516	0.14781262249416	0.482223114589691	0.332337928652934	0.434282788838129	0.13476473705437	0.127937302010247	0.171614982352021	0.0486899269686105	0.0138452843059499	0.34345308235491	0.286977419393585	0.076771126048361	0.427087180332179	0.173121232329275	0.246478413888973	0.339448021126843	-0.173426797947571	0.031345613768422	0.109566198452345	0.270684355105147	0.121080406639992	0.0213501805044257	0.368732995532494	0.382353594094131	0.370934361455336	-0.0113584403310347	0.203724900223352	0.305439813705869	0.366306674612895	0.0787653335023033	0.336118734957681	0.150918921384605	0.310431084292183	0.0803453515268755	-0.101362881668785	0.280508099890803	0.469379509586041
TGFBR1	0.0167202841720758	-0.0493065269585645	-0.0907046287461167	0.11082815288313	0.117435735519572	-0.102997167706672	0.122424649608591	0.0156937982773175	0.279990757449778	NA	-0.127759656606672	0.200886896894094	-0.314654256306271	0.374103751555313	0.245618455404333	0.125355421281572	0.310738402681918	0.141202430448542	0.110334804177776	0.369465298408455	0.154306538903686	-0.311067374560382	0.199503209804337	-0.0243208330791457	0.0214877973247662	0.0246268344138158	0.245499445305736	0.29325610629401	0.12188648475204	0.120320105322637	0.146724416176266	0.201469893078171	0.347254301487147	0.111407705118238	0.0296489019170775	0.060879524235085	0.220609761676622	0.3778930906514	0.0345287462810477	-0.0525426914487371	-0.158445462240851	-0.16868899259559	-0.0177321176854121	-0.166329716994891	-0.0583021208747248	0.147713533422227	-0.0567117173276102	0.320837082335145	0.223110158738703	0.28889322632229	0.0728995724594122	-0.0472901488595244	-0.392063470429949	-0.0863232160416592	-0.0346818145540029	0.0325566207675143	-0.00323294075108973	0.178367468723535	0.0891542604485983	0.0348762691663958	-0.153185102413518	0.0182406964367549	0.126999825008151	0.472131291533908	0.0953188597927166	0.197948260122899	0.330040459242151	0.170763012945463	0.170598992122976	0.0359192739195592	0.126556730738309	0.145844715061927
VTCN1	-0.0869803098455275	-0.0666808769836414	0.0553153601340508	-0.0409404269204772	-0.0301304322899499	0.141628853433547	0.100869681974042	-0.268318302581027	-0.278486921645901	-0.127759656606672	NA	-0.332677011439636	-0.0690347816265339	-0.107821722237897	-0.00770034747354053	-0.0184683862615593	-0.114356182241113	-0.102894093808183	-0.0796979695231834	0.0499510699865649	-0.0904943421550622	0.475717169369888	-0.353594390074712	-0.00596066132896243	-0.0207464429286874	-0.0453314227953733	-0.127958015384865	-0.0606593038633129	-0.0611619645557894	-0.118722637721097	-0.281014189467614	-0.0313037991953133	-0.0740348695556556	-0.113083388360322	-0.0805935858475232	-0.0516278610225986	-0.146266138570132	0.018623890310148	-0.163813419798674	-0.0486038640451855	0.0853814604525453	-0.306391753051354	-0.0290502997869506	0.286380987317435	-0.0877622836064714	-0.0467363811703022	-0.0287388624931076	-0.117889080104307	-0.0928947340990715	-0.029785352518526	-0.373366315197483	-0.0574417208608405	-0.0663215556204271	-0.404130048501923	-0.309737681562117	0.0404099682674665	0.319807234891524	-0.090116767402655	-0.0975168079238903	0.0234966691440491	-0.287315957496357	0.0211590503183011	-0.180999217242334	-0.19136377756609	-0.158242861043967	0.0710895640621978	0.211701558745151	-0.108173897320801	0.0127879623470437	0.136669521236838	-0.115025686351745	-0.304830404780008
CD244	0.446714645258141	0.559483233168292	0.407967885184492	0.598830949880353	0.482732237569917	0.307028294951755	0.28865694805719	0.367578513156716	0.445506688267101	0.200886896894094	-0.332677011439636	NA	0.297009522332008	0.546443965822947	0.404477085778738	0.565201084460707	0.529887971891761	0.463667407632924	0.503686218876369	0.0702456618798888	0.734705057551109	-0.379972809342967	0.598827994104598	0.0809018238291441	0.255000137395097	0.608494634671548	0.35431734157733	0.555349012337654	0.382608004319161	0.597182715060066	0.440501576848722	0.378388070787714	0.531068041147534	0.548295439084062	0.129472482480993	0.111678335773017	0.424585345930082	0.363908229786533	0.407940298306709	0.445532479642514	0.232475532592816	0.466836224173236	0.419023829130295	-0.0356119040481215	0.35710076539722	0.464826809232225	0.259478130388089	0.570507761937967	0.173123445371229	0.241047981267463	0.327413211454209	0.0517919669940609	0.0907514349787237	0.34269753875957	0.598707848550851	0.0706420075087158	-0.307533442836549	0.731988658357303	0.525679216422565	0.397774207933831	-0.00638661927632637	0.512135519380505	0.484453389953796	0.463569734171885	0.0154686461022293	0.419295366602807	0.106229780051344	0.733644848874106	0.0432985936489668	-0.153089909449286	0.702111299610396	0.753863947396113
LGALS9	0.30217144522229	0.370628353758398	0.343404486796398	0.2820866625361	0.139722650633656	0.280808848842142	0.178608490707191	0.312880872745807	0.0382863687604605	-0.314654256306271	-0.0690347816265339	0.297009522332008	NA	0.130877372777898	-0.0197773556611009	0.23892262191703	0.225563670901503	0.0915842765990001	0.13647100675142	-0.256361042569055	0.282065993295497	0.1069828203361	0.248938223471999	0.061863027167767	0.218799667104445	0.310611237076113	0.0251762433919964	0.141014911235097	0.08452020581088	0.314721122215732	0.165530733314479	0.208817359277322	0.195461425757057	0.275066701305238	0.155337297066197	0.0217560873900658	-0.0121077331257983	-0.00226479938237331	0.378182262522826	0.302142096009748	0.235104099775767	0.438723996192103	0.257287425685496	0.0372565761503242	0.258407302563189	0.211401169070968	0.288723366304716	0.218816809465196	-0.0720294540102532	0.0709296777236579	0.142261023281683	0.212804992586422	0.351274031745215	0.319185709350122	0.422030690448974	-0.0156590352633633	-0.0226904591445468	0.320471264372169	0.313528810011098	0.298271157784951	0.0973698736534064	0.358764874771646	0.264000508627371	-0.00398711497838958	0.107188603985122	0.150125665992393	-0.12794268278977	0.243258530137177	-0.148374311879161	-0.0781621955218184	0.265795045247173	0.271394372834077
HAVCR2	0.261937365093293	0.351224537468184	0.310184774367413	0.431225561833694	0.385764153936487	0.221405879124331	0.508197333961942	0.222729210920886	0.440947817069974	0.374103751555313	-0.107821722237897	0.546443965822947	0.130877372777898	NA	0.471392150583971	0.397249527660233	0.812346304832863	0.340928844853814	0.329108190407943	0.373825773313407	0.495150245348189	-0.2492429955148	0.488549226411044	0.046128764742999	0.217229578290314	0.376538630800293	0.430708449245689	0.563454502535473	0.446257711065291	0.419562378583684	0.414049742213378	0.512668108090107	0.843306942793378	0.371406190529816	0.203381778867937	0.0641840103372392	0.40460738366441	0.667442737837921	0.179100808820288	0.141766656367726	-0.0273394378343479	0.230669105861078	0.134092406268832	-0.153874198082921	0.271100660952137	0.429542249676851	0.319025758108613	0.751966163076813	0.279289332680036	0.416421806526352	0.155400055428817	-0.0797136686046813	-0.268786684856384	0.0613832414436849	0.280789633837697	0.138090964887181	-0.142467046623537	0.700905527222845	0.407937481245889	0.312798422374938	-0.278810496569746	0.441306852408843	0.386146009151968	0.564409549411127	0.0644140059464349	0.5407020732984	0.397478112848416	0.564068442275797	-0.022724781607155	-0.154177270101561	0.491044531856855	0.515269292334068
ADORA2A	0.22254531735705	0.334205680166205	0.219902356514062	0.36846635780754	0.406230914884254	0.15483033932366	0.148925792367299	-0.0165106699562546	0.267681200220718	0.245618455404333	-0.00770034747354053	0.404477085778738	-0.0197773556611009	0.471392150583971	NA	0.388061466471836	0.414758934310873	0.320786881405773	0.332757945683422	0.475592090947825	0.436480405099172	-0.0676802095900679	0.26270460383428	0.106821177632602	0.0960845091511227	0.471518144737666	0.190049155721597	0.480356927320319	0.31352802955692	0.4915390075235	0.305421400334182	0.23530557118711	0.368703592113837	0.275582478958805	0.17746466370837	-0.00207017881174019	0.173823953412253	0.315037576377887	0.150082901007829	0.335025789136249	0.0413751114085275	0.309825175976739	0.254173504246944	0.0481337399035596	0.375235522446344	0.26181068630407	0.202416135504291	0.383620629404428	0.106270312853517	0.277321350008433	0.0452248076116893	-0.0432888099810468	-0.165525512296119	0.0663346553167906	0.175251203927168	0.101168680588783	-0.111997601448711	0.511494513022559	0.284455359673259	0.25248108972967	-0.244301942248026	0.38752653316621	0.163114733203616	0.527827433106101	-0.0944245146537178	0.440832021009409	0.415918253869145	0.511929067898865	0.0197346466398492	-0.0990865647845899	0.408081396577634	0.415251283490183
TIGIT	0.804198552316037	0.764944039719255	0.690133655181752	0.690294952273507	0.25313295347582	0.497999356768776	0.312941131267465	0.136811931225173	0.21803738523836	0.125355421281572	-0.0184683862615593	0.565201084460707	0.23892262191703	0.397249527660233	0.388061466471836	NA	0.329714656633488	0.380559428222037	0.454580920498145	0.108389742778658	0.776320612031799	-0.113472861805012	0.28320760596785	0.0609434148378585	0.310906561334589	0.81798568712237	0.475772614339974	0.679615304784588	0.398381616952704	0.607894749310854	0.371183369832096	0.598084358503846	0.478333630478871	0.859209798997694	0.101354482142556	0.168021137141494	0.228471776425303	0.498837954388057	0.233531203721281	0.580083111072372	0.30998274087972	0.245008701346968	0.54394117773374	0.262642891404565	0.382619596084193	0.723929523434228	0.0847219842416481	0.475577492826525	0.184701421630905	0.305358882606503	0.203499187882764	0.154477675625347	0.113572275164837	0.101590721261614	0.394330776706979	0.0550680561344585	-0.0828881669561573	0.656443775115804	0.435112949476673	0.484609758165829	-0.0173562854018971	0.769835420363526	0.596737901059298	0.302516952064544	-0.0183823954600002	0.320686129558252	0.167334474170112	0.719998917549216	0.100192918152999	0.0488483799282754	0.763704079186672	0.675502775629116
CSF1R	0.228174955990767	0.32771205853364	0.259458767492229	0.443543888453616	0.371454003228135	0.119468505865052	0.504744364886635	0.245407314326155	0.518703386882933	0.310738402681918	-0.114356182241113	0.529887971891761	0.225563670901503	0.812346304832863	0.414758934310873	0.329714656633488	NA	0.264550600442982	0.261003306514725	0.293303440305846	0.463564662531685	-0.198221019959691	0.6145470603392	-0.00561657151246597	0.238095399450734	0.369921878384496	0.34458160190315	0.558320451731759	0.365677155571775	0.432449888446567	0.326565919350424	0.45399919861874	0.812066153133712	0.319620242160266	0.243268793739821	0.0620475475902786	0.474769791008328	0.566308388161951	0.333601219834394	0.212587854549954	0.0901913539517164	0.21678323442111	0.159052749726833	-0.133962886757405	0.288503159199277	0.392497757629509	0.331928795002262	0.750761926486253	0.25174518400245	0.371130510493307	0.081180503249731	-0.0377673963647183	-0.144157595009198	0.0362461617849397	0.316816205647251	0.152219437470759	-0.0635343755603989	0.646141511991261	0.502784692078887	0.427007848714582	-0.221810806212368	0.442931080457158	0.422144038950138	0.516770107638259	0.0783152395623945	0.514344062871432	0.400288714104417	0.489760158938848	-0.069944773416384	-0.19934716089777	0.370480664518141	0.459028277903938
KIR2DL1	0.263719730244929	0.365738537216273	0.331000492037101	0.333108860315876	0.362623897898441	0.320136321372224	0.143009125829889	0.124322465895637	0.269438733811137	0.141202430448542	-0.102894093808183	0.463667407632924	0.0915842765990001	0.340928844853814	0.320786881405773	0.380559428222037	0.264550600442982	NA	0.511945272520703	0.18118596606473	0.451343942912403	-0.16100987523689	0.316651428477067	0.0914429441019895	0.145226987129133	0.378359365979515	0.22048828426313	0.337350212932278	0.313405218830574	0.362806523037669	0.3151152840971	0.183106092375487	0.27188589602024	0.314047202286927	0.113359568284991	0.0561798532599659	0.241925582526295	0.235859047006045	0.214908840260636	0.224211301359284	0.0908884079107745	0.290929566755507	0.177182250080219	0.00465569627033735	0.290487441839087	0.308036922570498	0.153562231311456	0.275649838636113	0.0684175292967946	0.108306803229734	0.188921207276536	-0.00591807059361136	0.0216896435057837	0.224846287139166	0.282033060545702	0.0847426328118749	-0.149402622529272	0.401873817172588	0.333487902751182	0.227983333831394	-0.00643153271797227	0.319655046636762	0.23143227735898	0.302194355968419	0.0151770242782759	0.340573150833234	0.134974613827914	0.497448926743705	0.0853475205760421	-0.0862190481330175	0.506643740179966	0.544632825635604
